date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/01/2026,ARKK,TESLA INC,TSLA,88160R101,"1,665,805","$612,932,949.75",9.58%
09/01/2026,ARKK,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,"2,733,919","$392,836,821.11",6.14%
09/01/2026,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,"3,822,146","$365,206,050.30",5.71%
09/01/2026,ARKK,TEMPUS AI INC-CL A,TEM,88023B103,"5,463,322","$344,462,452.10",5.38%
09/01/2026,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"1,611,123","$303,084,458.76",4.74%
09/01/2026,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"5,251,785","$299,246,709.30",4.68%
09/01/2026,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,236,108","$234,366,479.48",3.66%
09/01/2026,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"1,584,201","$233,463,701.37",3.65%
09/01/2026,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,681,666","$233,751,574.00",3.65%
09/01/2026,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"1,029,597","$191,896,288.86",3.00%
09/01/2026,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,008,112","$187,856,594.40",2.94%
09/01/2026,ARKK,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"254,476","$172,563,178.42",2.70%
09/01/2026,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"5,818,507","$171,238,661.01",2.68%
09/01/2026,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"348,521","$164,055,805.12",2.56%
09/01/2026,ARKK,BLOCK INC,XYZ,852234103,"1,956,557","$160,476,805.14",2.51%
09/01/2026,ARKK,AMAZON.COM INC,AMZN,023135106,"615,649","$159,927,140.73",2.50%
09/01/2026,ARKK,COREWEAVE INC-CL A,CRWV,21873S108,"1,888,211","$160,290,231.79",2.50%
09/01/2026,ARKK,NVIDIA CORP,NVDA,67066G104,"723,155","$159,658,160.90",2.49%
09/01/2026,ARKK,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,"822,578","$151,551,770.72",2.37%
09/01/2026,ARKK,BULLISH,BLSH,G16910120,"3,999,530","$136,104,005.90",2.13%
09/01/2026,ARKK,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"5,140,625","$130,160,625.00",2.03%
09/01/2026,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"9,610,134","$122,337,005.82",1.91%
09/01/2026,ARKK,BROADCOM INC,AVGO,11135F101,"303,237","$112,300,790.58",1.75%
09/01/2026,ARKK,ALPHABET INC-CL C,GOOG,02079K107,"318,134","$106,705,324.94",1.67%
09/01/2026,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"149,189","$85,386,832.26",1.33%
09/01/2026,ARKK,CLOUDFLARE INC - CLASS A,NET,18915M107,"266,531","$81,321,273.41",1.27%
09/01/2026,ARKK,X-ENERGY INC,XE,98386P102,"4,398,291","$81,148,468.95",1.27%
09/01/2026,ARKK,GENEDX HOLDINGS CORP,WGS,81663L200,"942,442","$79,928,506.02",1.25%
09/01/2026,ARKK,ARCHER AVIATION INC-A,ACHR,03945R102,"13,451,975","$77,752,415.50",1.21%
09/01/2026,ARKK,ILLUMINA INC,ILMN,452327109,"330,321","$70,566,475.23",1.10%
09/01/2026,ARKK,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"1,329,903","$67,798,454.94",1.06%
09/01/2026,ARKK,NATERA INC,NTRA,632307104,"206,389","$66,449,002.44",1.04%
