date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/24/2026,ARKK,TESLA INC,TSLA,88160R101,"2,168,881","$824,435,045.72",9.38%
09/24/2026,ARKK,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,"3,559,723","$528,120,504.28",6.01%
09/24/2026,ARKK,TEMPUS AI INC-CL A,TEM,88023B103,"6,401,016","$490,253,815.44",5.58%
09/24/2026,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,"4,832,475","$443,234,607.00",5.04%
09/24/2026,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"2,051,302","$406,424,465.26",4.62%
09/24/2026,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"6,992,096","$389,879,272.96",4.44%
09/24/2026,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,981,855","$365,873,608.50",4.16%
09/24/2026,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"2,018,564","$319,942,394.00",3.64%
09/24/2026,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"3,774,384","$285,418,918.08",3.25%
09/24/2026,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"1,895,926","$269,866,106.84",3.07%
09/24/2026,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"414,507","$254,760,147.27",2.90%
09/24/2026,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"1,247,935","$239,341,453.65",2.72%
09/24/2026,ARKK,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,"1,111,813","$228,188,500.12",2.60%
09/24/2026,ARKK,COREWEAVE INC-CL A,CRWV,21873S108,"2,582,575","$224,425,767.50",2.55%
09/24/2026,ARKK,NVIDIA CORP,NVDA,67066G104,"941,471","$212,311,125.21",2.42%
09/24/2026,ARKK,BULLISH,BLSH,G16910120,"5,030,622","$201,778,248.42",2.30%
09/24/2026,ARKK,META PLATFORMS INC-CLASS A,META,30303M102,"272,015","$202,406,361.50",2.30%
09/24/2026,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"8,064,075","$196,521,507.75",2.24%
09/24/2026,ARKK,AMAZON.COM INC,AMZN,023135106,"776,026","$193,440,001.02",2.20%
09/24/2026,ARKK,BLOCK INC,XYZ,852234103,"2,547,321","$190,233,932.28",2.16%
09/24/2026,ARKK,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"6,497,901","$178,432,361.46",2.03%
09/24/2026,ARKK,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"254,476","$172,563,178.42",1.96%
09/24/2026,ARKK,BROADCOM INC,AVGO,11135F101,"394,541","$140,058,109.59",1.59%
09/24/2026,ARKK,ALPHABET INC-CL C,GOOG,02079K107,"365,310","$122,371,543.80",1.39%
09/24/2026,ARKK,CLOUDFLARE INC - CLASS A,NET,18915M107,"346,987","$122,253,929.71",1.39%
09/24/2026,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,"9,839,063","$121,315,646.79",1.38%
