Date,ETF_Ticker,Stock_Ticker,Company_Name,Action,Shares_Change,Weight_Change
2026-08-17,JEPI,LDOS,LEIDOS HOLDINGS INC,Buy,104.0,0.0
2026-08-17,JEPI,ORCL,ORACLE CORP COMMON STOCK,Buy,104.0,-0.01
2026-08-17,JEPI,ADSK,AUTODESK INC COMMON,Buy,100.0,-0.01
2026-08-17,JEPI,NXPI,NXP SEMICONDUCTORS NV,Buy,100.0,0.0
2026-08-17,JEPI,AMT,AMERICAN TOWER CORP REIT,Buy,92.0,0.0
2026-08-17,JEPI,BURL,BURLINGTON STORES INC,Buy,84.0,-0.01
2026-08-17,JEPI,AFRM,AFFIRM HOLDINGS INC,Buy,80.0,0.0
2026-08-17,JEPI,HLT,HILTON WORLDWIDE,Buy,80.0,0.01
2026-08-17,JEPI,INTC,INTEL CORP COMMON STOCK,Buy,80.0,0.0
2026-08-17,JEPI,ISRG,INTUITIVE SURGICAL INC,Buy,80.0,0.0
2026-08-17,JEPI,REGN,REGENERON,Buy,80.0,0.01
2026-08-17,JEPI,ADI,ANALOG DEVICES INC,Buy,76.0,0.0
2026-08-17,JEPI,COST,COSTCO WHOLESALE CORP,Buy,76.0,0.0
2026-08-17,JEPI,GLW,CORNING INC COMMON STOCK,Buy,76.0,0.01
2026-08-17,JEPI,FDX,FEDEX CORP COMMON STOCK,Buy,72.0,0.0
2026-08-17,JEPI,BBY,BEST BUY CO INC COMMON,Buy,64.0,0.0
2026-08-17,JEPI,UNH,UNITEDHEALTH GROUP INC,Buy,64.0,0.0
2026-08-17,JEPI,SPGI,S&P GLOBAL INC COMMON,Buy,60.0,0.0
2026-08-17,JEPI,UNP,UNION PACIFIC CORP,Buy,60.0,0.01
2026-08-17,JEPI,AWK,AMERICAN WATER WORKS CO,Buy,56.0,0.0
2026-08-17,JEPI,WELL,WELLTOWER INC,Buy,56.0,0.0
2026-08-17,JEPI,EQIX,EQUINIX INC REIT USD,Buy,52.0,0.01
2026-08-17,JEPI,MCK,MCKESSON CORP COMMON,Buy,52.0,-0.01
2026-08-17,JEPI,LLY,ELI LILLY AND COMPANY,Buy,48.0,0.01
2026-08-17,JEPI,BRK.B,BERKSHIRE HATHAWAY INC,Buy,44.0,0.0
2026-08-17,JEPI,TSLA,TESLA INC COMMON STOCK,Buy,44.0,0.0
2026-08-17,JEPI,VMC,VULCAN MATERIALS CO,Buy,44.0,0.0
2026-08-17,JEPI,CMI,CUMMINS INC COMMON STOCK,Buy,40.0,0.01
2026-08-17,JEPI,FDXF,FEDEX FREIGHT HOLDING CO,Buy,32.0,0.0
2026-08-17,JEPI,HUM,HUMANA INC COMMON STOCK,Buy,24.0,0.0
2026-08-17,JEPI,MU,MICRON TECHNOLOGY INC,Buy,24.0,0.02
2026-08-17,JEPI,STX,SEAGATE TECHNOLOGY,Buy,24.0,0.01
2026-08-17,JEPI,TMO,THERMO FISHER SCIENTIFIC,Buy,24.0,0.01
2026-08-17,JEPI,GD,GENERAL DYNAMICS CORP,Buy,20.0,0.0
2026-08-17,JEPI,MAR,MARRIOTT INTERNATIONAL,Buy,20.0,0.0
2026-08-17,JEPI,WDC,WESTERN DIGITAL CORP,Buy,20.0,0.01
2026-08-17,JEPI,AZO,AUTOZONE INC COMMON,Buy,8.0,0.01
2026-08-17,JEPI,LIN,LINDE PLC COMMON STOCK,Buy,8.0,0.0
2026-08-17,JEPI,TDG,TRANSDIGM GROUP INC,Buy,8.0,0.0
2026-08-17,JEPI,JIMXX,JPMORGAN PRIME MONEY,Closed Position,-321456295.0,-0.69
2026-08-17,JEPI,DE,DEERE & CO COMMON STOCK,Sell,-2220.0,-0.01
2026-08-17,JEPI,TXN,TEXAS INSTRUMENTS INC,Sell,-7440.0,0.0
2026-08-17,JEPI,AXP,AMERICAN EXPRESS CO,Sell,-7869.0,-0.01
2026-08-17,JEPI,SYK,STRYKER CORP COMMON,Sell,-8762.0,-0.02
2026-08-17,JEPI,APH,AMPHENOL CORP COMMON,Sell,-60393.0,-0.01
2026-08-17,DFAC,AVGO,BROADCOM INC,Buy,70209.0,0.059612
2026-08-17,DFAC,MOH US,MOLINA HEALTHCARE INC,Buy,5600.0,0.001326
2026-08-17,DFAC,RH US,RH,Buy,600.0,-9e-06
2026-08-17,DFAC,RMCF US,ROCKY MOUNTAIN CHOCOLATE,Closed Position,-289.0,-1e-06
2026-08-17,DFAC,PASG U,PASSAGE BIO INC,Closed Position,-792.0,-7e-06
2026-08-17,DFAC,CVRX US,CVRX INC,Closed Position,-5367.0,-3.3e-05
2026-08-17,DFAC,BBBY,Bed Bath & Beyond Inc,Closed Position,-98818.0,-0.00086
2026-08-17,DFAC,NXH US,NEIGHBORHOOD INTELLIGENCE,New Position,98818.0,0.000851
2026-08-17,DFAC,IDXX US,IDEXX LABORATORIES INC,Sell,-9.0,-0.000308
2026-08-17,DFAC,MCO US,MOODY'S CORPORATION,Sell,-12.0,-0.001256
2026-08-17,DFAC,TDG US,TRANSDIGM GROUP INC,Sell,-12.0,-0.000693
2026-08-17,DFAC,GRMN US,GARMIN LTD,Sell,-15.0,-0.000331
2026-08-17,DFAC,IDCC US,INTERDIGITAL INC,Sell,-15.0,0.000713
2026-08-17,DFAC,SPGI US,S&P GLOBAL INC,Sell,-15.0,-0.001533
2026-08-17,DFAC,TPL US,TEXAS PACIFIC LAND CORP,Sell,-15.0,0.000643
2026-08-17,DFAC,ADI US,ANALOG DEVICES INC.,Sell,-18.0,0.00086
2026-08-17,DFAC,BLK US,BLACKROCK FUNDING INC/DE,Sell,-18.0,-0.00181
2026-08-17,DFAC,DE US,DEERE & CO.,Sell,-18.0,-0.001885
2026-08-17,DFAC,GS US,GOLDMAN SACHS GROUP INC.,Sell,-18.0,0.005525
2026-08-17,DFAC,COR US,CENCORA INC,Sell,-21.0,8.2e-05
2026-08-17,DFAC,ECL US,ECOLAB INC,Sell,-21.0,0.000399
2026-08-17,DFAC,FTAI U,FTAI AVIATION LTD,Sell,-21.0,0.0033
2026-08-17,DFAC,NTRA US,NATERA INC,Sell,-21.0,0.000486
2026-08-17,DFAC,ULTA US,ULTA BEAUTY INC,Sell,-21.0,-0.002417
2026-08-17,DFAC,VRSN US,VERISIGN INC.,Sell,-21.0,-0.001292
2026-08-17,DFAC,AMP US,AMERIPRISE FINANCIAL INC,Sell,-24.0,-0.001431
2026-08-17,DFAC,NXST US,NEXSTAR MEDIA GROUP INC,Sell,-24.0,-0.000578
2026-08-17,DFAC,PWR US,QUANTA SERVICES INC.,Sell,-24.0,0.001974
2026-08-17,DFAC,URI US,UNITED RENTALS INC.,Sell,-24.0,0.002897
2026-08-17,DFAC,FDX US,FEDEX CORP,Sell,-27.0,-0.000767
2026-08-17,DFAC,LH U,LABCORP HOLDINGS INC,Sell,-27.0,0.001741
2026-08-17,DFAC,LMT US,LOCKHEED MARTIN CORP.,Sell,-27.0,-0.003376
2026-08-17,DFAC,POWL US,POWELL INDUSTRIES INC,Sell,-27.0,0.000938
2026-08-17,DFAC,SN US,SHARKNINJA HONG KONG CO L,Sell,-27.0,-0.000298
2026-08-17,DFAC,TRGP US,TARGA RESOURCES CORP,Sell,-27.0,0.001651
2026-08-17,DFAC,ADSK US,AUTO DESK,Sell,-30.0,-0.002712
2026-08-17,DFAC,CMI US,CUMMINS INC,Sell,-30.0,0.003362
2026-08-17,DFAC,DAVE,DAVE INC,Sell,-30.0,0.000415
2026-08-17,DFAC,ITW US,ILLINOIS TOOL WORKS INC.,Sell,-30.0,-0.00108
2026-08-17,DFAC,KEYS US,KEYSIGHT TECHNOLOGIES INC,Sell,-30.0,0.000998
2026-08-17,DFAC,LEU US,CENTRUS ENERGY CORP,Sell,-30.0,-0.000426
2026-08-17,DFAC,PH US,PARKER-HANNIFIN CORP,Sell,-30.0,0.000323
2026-08-17,DFAC,SXI US,STANDEX INTERNATIONAL COR,Sell,-30.0,-0.000152
2026-08-17,DFAC,AWI US,ARMSTRONG WORLD INDUSTRIE,Sell,-33.0,-0.000419
2026-08-17,DFAC,LIN U,NEW LINDE PLC,Sell,-33.0,-0.003448
2026-08-17,DFAC,MRSH US,MARSH & MCLENNAN COS INC,Sell,-33.0,-0.001619
2026-08-17,DFAC,TEL U,TE CONNECTIVITY PLC,Sell,-33.0,0.001123
2026-08-17,DFAC,CAT US,CATERPILLAR INC.,Sell,-36.0,0.014904
2026-08-17,DFAC,DGX US,QUEST DIAGNOSTICS INC.,Sell,-36.0,0.000751
2026-08-17,DFAC,HLT US,HILTON WORLDWIDE HOLD,Sell,-36.0,9.8e-05
2026-08-17,DFAC,TRV US,TRAVELERS COMPANIES INC.,Sell,-36.0,-0.002646
2026-08-17,DFAC,XPO US,XPO INC,Sell,-36.0,0.000338
2026-08-17,DFAC,AMGN US,AMGEN INC,Sell,-39.0,0.004363
2026-08-17,DFAC,APO US,APOLLO GLOBAL MANAGEMENT,Sell,-39.0,-0.004148
2026-08-17,DFAC,CEGVV US,CONSTELLATION ENERGY CORP,Sell,-39.0,-0.000394
2026-08-17,DFAC,EAT US,BRINKER INTERNATIONAL INC,Sell,-39.0,0.000891
2026-08-17,DFAC,TMUS US,T-MOBILE US INC,Sell,-39.0,-0.001147
2026-08-17,DFAC,VST US,VISTRA ENERGY CORP,Sell,-39.0,-0.00092
2026-08-17,DFAC,HLI US,HOULIHAN LOKEY INC,Sell,-42.0,-0.000599
2026-08-17,DFAC,NRG US,NRG ENERGY INC,Sell,-42.0,-0.002069
2026-08-17,DFAC,ALAB US,ASTERA LABS INC,Sell,-45.0,-1.8e-05
2026-08-17,DFAC,EHC US,ENCOMPASS HEALTH CORP,Sell,-45.0,-0.000438
2026-08-17,DFAC,HCI US,HCI GROUP INC,Sell,-45.0,-6.7e-05
2026-08-17,DFAC,ITRI US,ITRON INC,Sell,-45.0,-9.8e-05
2026-08-17,DFAC,TKO US,TKO GROUP HOLDINGS INC,Sell,-45.0,-0.000381
2026-08-17,DFAC,ALV US,AUTOLIV INC,Sell,-48.0,-0.000265
2026-08-17,DFAC,BELFB US,BEL FUSE INC,Sell,-48.0,0.000434
2026-08-17,DFAC,CI US,CIGNA GROUP/THE,Sell,-48.0,-0.002976
2026-08-17,DFAC,ENSG US,ENSIGN GROUP INC/THE,Sell,-48.0,0.000158
2026-08-17,DFAC,ZBRA US,ZEBRA TECHNOLOGIES CORP,Sell,-48.0,-0.000505
2026-08-17,DFAC,AAMI US,ACADIAN ASSET MANAGEMENT,Sell,-51.0,0.000104
2026-08-17,DFAC,AON US,AON PLC,Sell,-51.0,-0.00311
2026-08-17,DFAC,LLY US,ELI LILLY AND COMPANY,Sell,-51.0,0.007654
2026-08-17,DFAC,MA US,MASTERCARD INC - A,Sell,-51.0,-0.003819
2026-08-17,DFAC,PJT US,PJT PARTNERS INC,Sell,-51.0,-0.000234
2026-08-17,DFAC,PM US,PHILIP MORRIS INTL,Sell,-51.0,-0.002884
2026-08-17,DFAC,UFPT US,UFP TECHNOLOGIES INC,Sell,-51.0,7e-06
2026-08-17,DFAC,AGM US,FEDERAL AGRICULTURAL MORT,Sell,-54.0,-1.7e-05
2026-08-17,DFAC,COKE US,COCA-COLA CONSOLIDATED IN,Sell,-54.0,-0.000293
2026-08-17,DFAC,MTSI US,MACOM TECHNOLOGY SOLUTION,Sell,-54.0,0.001076
2026-08-17,DFAC,NEE US,NEXTERA ENERGY INC,Sell,-54.0,0.000349
2026-08-17,DFAC,WEX US,WEX INC,Sell,-54.0,-0.000326
2026-08-17,DFAC,FIX US,COMFORT SYSTEMS USA INC,Sell,-57.0,0.009812
2026-08-17,DFAC,GNRC US,GENERAC HOLDINGS INC,Sell,-57.0,0.000485
2026-08-17,DFAC,INSW US,INTERNATIONAL SEAWAYS INC,Sell,-57.0,0.00044
2026-08-17,DFAC,UPS US,UPS INC. CLASS B,Sell,-57.0,-0.002014
2026-08-17,DFAC,VEEV US,VEEVA SYSTEMS INC,Sell,-57.0,-0.001044
2026-08-17,DFAC,WDFC US,WD-40 CO,Sell,-57.0,2.7e-05
2026-08-17,DFAC,CAH US,CARDINAL HEALTH INC.,Sell,-60.0,0.000403
2026-08-17,DFAC,JXN,JACKSON FINANCIAL INC,Sell,-60.0,-0.000485
2026-08-17,DFAC,PPG US,PPG INDUSTRIES INC,Sell,-63.0,-8.5e-05
2026-08-17,DFAC,THC US,TENET HEALTHCARE CORP.,Sell,-63.0,-0.000722
2026-08-17,DFAC,UNP US,UNION PAC CORP.,Sell,-63.0,0.005905
2026-08-17,DFAC,FCN US,FTI CONSULTING INC,Sell,-66.0,-0.000192
2026-08-17,DFAC,FLEX US,FLEX LTD,Sell,-66.0,0.003389
2026-08-17,DFAC,HD US,HOME DEPOT INC,Sell,-66.0,0.000754
2026-08-17,DFAC,MTRN US,MATERION CORP,Sell,-69.0,0.000457
2026-08-17,DFAC,TGT US,TARGET CORP.,Sell,-69.0,-0.003329
2026-08-17,DFAC,VSAT US,VIASAT INC,Sell,-69.0,-0.000634
2026-08-17,DFAC,KALU US,KAISER ALUMINUM CORP,Sell,-72.0,0.000377
2026-08-17,DFAC,LEN US,LENNAR CORP.,Sell,-72.0,7.8e-05
2026-08-17,DFAC,NUE US,NUCOR CORP.,Sell,-72.0,0.002551
2026-08-17,DFAC,BJ US,BJ'S WHOLESALE CLUB HOLDI,Sell,-75.0,0.000818
2026-08-17,DFAC,BRK/B US,BERKSHIRE HATHAWAY CL-B,Sell,-75.0,-0.004767
2026-08-17,DFAC,CL US,COLGATE-PALMOLIVE CO,Sell,-75.0,-0.001719
2026-08-17,DFAC,DCO US,DUCOMMUN INC,Sell,-75.0,-8.4e-05
2026-08-17,DFAC,CRDO US,CREDO TECHNOLOGY GROUP HO,Sell,-78.0,0.00515
2026-08-17,DFAC,DIS US,WALT DISNEY CO/THE,Sell,-78.0,-0.003826
2026-08-17,DFAC,LEA US,LEAR CORP,Sell,-78.0,0.000121
2026-08-17,DFAC,ONTO US,ONTO INNOVATION INC,Sell,-78.0,0.002556
2026-08-17,DFAC,POST US,POST HOLDINGS INC,Sell,-78.0,-0.000306
2026-08-17,DFAC,AN US,AUTONATION INC.,Sell,-81.0,-0.000596
2026-08-17,DFAC,CCK US,CROWN HOLDINGS INC,Sell,-81.0,-0.001116
2026-08-17,DFAC,ENVA US,ENOVA INTERNATIONAL INC,Sell,-81.0,-7.1e-05
2026-08-17,DFAC,HALO US,HALOZYME THERAPEUTICS INC,Sell,-81.0,0.00185
2026-08-17,DFAC,AMG US,AFFILIATED MANAGERS GROUP,Sell,-84.0,-0.000207
2026-08-17,DFAC,RSG US,REPUBLIC SERVICES INC,Sell,-84.0,0.000813
2026-08-17,DFAC,TMO US,THERMO FISHER SCIENTIFIC.,Sell,-84.0,-6.7e-05
2026-08-17,DFAC,AXP US,AMERICAN EXPRESS CO.,Sell,-87.0,-0.003454
2026-08-17,DFAC,DRI US,DARDEN RESTAURANT INC.,Sell,-87.0,0.000541
2026-08-17,DFAC,KRYS US,KRYSTAL BIOTECH INC,Sell,-87.0,0.000512
2026-08-17,DFAC,QCOM US,QUALCOMM INC.,Sell,-87.0,-0.004285
2026-08-17,DFAC,TER US,TERADYNE INC.,Sell,-87.0,0.006511
2026-08-17,DFAC,ECG US,EVERUS CONSTRUCTION GROUP,Sell,-90.0,0.000669
2026-08-17,DFAC,GPC US,GENUINE PARTS CO,Sell,-90.0,-0.000891
2026-08-17,DFAC,UNH US,UNITEDHEALTH GROUP INC.,Sell,-90.0,-0.003007
2026-08-17,DFAC,VLO US,VALERO ENERGY CORP,Sell,-90.0,0.003176
2026-08-17,DFAC,AEIS US,ADVANCED ENERGY IND INC.,Sell,-93.0,0.002383
2026-08-17,DFAC,DOV US,DOVER CORP,Sell,-93.0,5.2e-05
2026-08-17,DFAC,URBN US,URBAN OUTFITTERS INC,Sell,-93.0,-0.000349
2026-08-17,DFAC,BIO US,BIO-RAD LABORATORIES INC,Sell,-96.0,1.3e-05
2026-08-17,DFAC,CAKE US,THE CHEESECAKE FACTORY,Sell,-96.0,-0.000888
2026-08-17,DFAC,FOXA US,FOX CORP - CLASS A,Sell,-96.0,0.000374
2026-08-17,DFAC,HII US,HUNTINGTON INGALLS INDUST,Sell,-96.0,-0.001257
2026-08-17,DFAC,MHK US,MOHAWK INDUSTRIES INC,Sell,-96.0,-0.001279
2026-08-17,DFAC,SEIC US,SEI INVESTMENTS COMPANY,Sell,-96.0,-0.000185
2026-08-17,DFAC,SHOO US,STEVEN MADDEN LTD,Sell,-96.0,-0.000104
2026-08-17,DFAC,FE US,FIRSTENERGY CORP.,Sell,-99.0,0.00021
2026-08-17,DFAC,USFD US,US FOODS HOLDING CORP,Sell,-99.0,0.000175
2026-08-17,DFAC,CTVA US,CORTEVA INC,Sell,-102.0,-0.000318
2026-08-17,DFAC,EXPD US,EXPEDITORS INTL WASH INC,Sell,-102.0,0.001534
2026-08-17,DFAC,JBHT US,HUNT (JB) TRANSPORT SERV,Sell,-102.0,0.001749
2026-08-17,DFAC,PEP US,PEPSICO INC.,Sell,-102.0,-0.003406
2026-08-17,DFAC,BJRI US,BJ'S RESTAURANTS INC,Sell,-105.0,-0.000171
2026-08-17,DFAC,MDB US,MONGODB INC,Sell,-105.0,-0.002553
2026-08-17,DFAC,SYY US,SYSCO CORP.,Sell,-105.0,-0.000792
2026-08-17,DFAC,VGNT US,VERSIGENT LTD,Sell,-105.0,0.000171
2026-08-17,DFAC,ADUS US,ADDUS HOMECARE CORP,Sell,-108.0,-8.2e-05
2026-08-17,DFAC,CENX US,CENTURY ALUMINUM CO,Sell,-108.0,0.000252
2026-08-17,DFAC,CRS US,CARPENTER TECHNOLOGY CORP,Sell,-108.0,-4.1e-05
2026-08-17,DFAC,DDOG US,DATADOG INC,Sell,-108.0,-0.001108
2026-08-17,DFAC,IBM US,INTERNATIONAL BUSINESS MA,Sell,-108.0,-0.005448
2026-08-17,DFAC,ORA US,ORMAT TECHNOLOGIES INC,Sell,-108.0,-0.000114
2026-08-17,DFAC,CF US,CF INDUSTRIES HOLDINGS,Sell,-111.0,1.3e-05
2026-08-17,DFAC,DLTR US,DOLLAR TREE INC,Sell,-111.0,0.000613
2026-08-17,DFAC,NVT US,NVENT ELECTRIC PLC,Sell,-111.0,0.002722
2026-08-17,DFAC,V US,VISA INC,Sell,-111.0,-0.006568
2026-08-17,DFAC,ALL US,ALLSTATE CORP.,Sell,-114.0,-0.001395
2026-08-17,DFAC,AWK US,AMERICAN WATER WORKS CO I,Sell,-114.0,-0.000425
2026-08-17,DFAC,KR US,KROGER CO.,Sell,-114.0,-0.000696
2026-08-17,DFAC,CPAY US,CORPAY INC,Sell,-117.0,-0.002274
2026-08-17,DFAC,DG US,DOLLAR GENERAL CORP.,Sell,-117.0,-0.002264
2026-08-17,DFAC,MDLZ US,MONDELEZ INTL,Sell,-117.0,-0.002269
2026-08-17,DFAC,NBR US,NABORS INDUSTRIES LTD,Sell,-117.0,0.000238
2026-08-17,DFAC,ROG US,ROGERS CORP,Sell,-117.0,0.000287
2026-08-17,DFAC,DTM US,DT MIDSTREAM INC,Sell,-120.0,-0.00051
2026-08-17,DFAC,FUL US,HB FULLER CO,Sell,-120.0,0.000282
2026-08-17,DFAC,SKY US,CHAMPION HOMES INC,Sell,-120.0,-0.000217
2026-08-17,DFAC,AMD US,ADVANCED MICRO DEVICES,Sell,-123.0,-0.002453
2026-08-17,DFAC,CMC US,COMMERCIAL METALS CO,Sell,-123.0,0.000778
2026-08-17,DFAC,CRL US,CHARLES RIVER LABORATORIE,Sell,-123.0,0.001643
2026-08-17,DFAC,SHW US,SHERWIN-WILLIAMS CO,Sell,-123.0,-0.003071
2026-08-17,DFAC,WTW US,WILLIS TOWERS WATSON PLC,Sell,-123.0,-0.001165
2026-08-17,DFAC,EXE US,EXPAND ENERGY CORP,Sell,-126.0,-0.000144
2026-08-17,DFAC,IQV US,IQVIA HOLDINGS INC,Sell,-126.0,0.002304
2026-08-17,DFAC,ECPG US,ENCORE CAPITAL GROUP INC,Sell,-129.0,2.2e-05
2026-08-17,DFAC,FHI US,FEDERATED HERMES INC,Sell,-129.0,0.000107
2026-08-17,DFAC,SYF US,SYNCHRONY FINANCIAL,Sell,-129.0,0.000174
2026-08-17,DFAC,TDW US,TIDEWATER INC,Sell,-129.0,1.5e-05
2026-08-17,DFAC,ABNB US,AIRBNB INC,Sell,-132.0,-0.001221
2026-08-17,DFAC,AVT US,AVNET INC,Sell,-132.0,0.001283
2026-08-17,DFAC,CR,CRANE CO,Sell,-132.0,0.000193
2026-08-17,DFAC,EOG US,EOG RESOURCES INC.,Sell,-132.0,0.005708
2026-08-17,DFAC,STNG US,SCORPIO TANKERS INC,Sell,-135.0,0.000314
2026-08-17,DFAC,DVA US,DAVITA INC,Sell,-138.0,-0.000652
2026-08-17,DFAC,HSY US,THE HERSHEY COMPANY,Sell,-138.0,-0.000918
2026-08-17,DFAC,CART US,MAPLEBEAR INC,Sell,-141.0,0.000186
2026-08-17,DFAC,SCI US,SERVICE CORP INTERNATIONA,Sell,-141.0,-0.000885
2026-08-17,DFAC,AAON US,AAON INC,Sell,-144.0,0.000198
2026-08-17,DFAC,HGV US,HILTON GRAND VACATIONS IN,Sell,-150.0,-0.000345
2026-08-17,DFAC,XYL US,XYLEM INC.,Sell,-150.0,-0.000707
2026-08-17,DFAC,BFH,BREAD FINANCIAL HOLDINGS,Sell,-153.0,-0.000379
