date,etf_ticker,ticker,description,weight,market_value,identifier,isin,sedol,shares,coupon_rate,maturity_date,principal
2026-09-08,DFAC,FMAO US,FARMERS & MERCHANTS BANCO,4.513e-06,221750.55,30779N105,US30779N1054,2120865,6363.0,0.0,,221750.55
2026-09-08,DFAC,HBIO,HARVARD BIOSCIENCE INC,1.665e-07,8180.55,416906204,US4169062043,BV4J1X9,1029.0,0.0,,8180.55
2026-09-08,DFAC,MBIN US,MERCHANTS BANCORP/IN,0.0001026107,5041899.0,58844R108,US58844R1086,BYZ1PQ6,95310.0,0.0,,5041899.0
2026-09-08,DFAC,WEN US,WENDY'S CO,3.5182e-05,1728710.43,95058W100,US95058W1009,B3NXMJ9,227163.0,0.0,,1728710.43
2026-09-08,DFAC,UPS US,UPS INC. CLASS B,0.0010418742,51193756.16,911312106,US9113121068,2517382,509492.0,0.0,,51193756.16
2026-09-08,DFAC,RDN US,RADIAN GROUP INC,0.0001710394,8404228.35,750236101,US7502361014,2173911,233127.0,0.0,,8404228.35
2026-09-08,DFAC,EPC US,EDGEWELL PERSONAL CARE CO,1.89569e-05,931471.65,28035Q102,US28035Q1022,BX8ZSB4,33615.0,0.0,,931471.65
2026-09-08,DFAC,DOCU US,DOCUSIGN INC,0.0001286297,6320374.36,256163106,US2561631068,BFYT7B7,97117.0,0.0,,6320374.36
2026-09-08,DFAC,FCX US,FREEPORT-MCMORAN INC.,0.0015320659,75279916.2,35671D857,US35671D8570,2352118,982510.0,0.0,,75279916.2
2026-09-08,DFAC,PLUS US,EPLUS INC,0.0001039517,5107793.94,294268107,US2942681071,2597748,56886.0,0.0,,5107793.94
2026-09-08,DFAC,ASTE US,ASTEC INDUSTRIES INC,5.04406e-05,2478461.7,046224101,US0462241011,2060370,57773.0,0.0,,2478461.7
2026-09-08,DFAC,SAIC US,SCIENCE APPLICATIONS INTE,0.0002484665,12208703.35,808625107,US8086251076,BDTZZG7,95717.0,0.0,,12208703.35
2026-09-08,DFAC,WST US,WEST PHARMACEUTICAL SERV,0.0005361112,26342473.5,955306105,US9553061055,2950482,77994.0,0.0,,26342473.5
2026-09-08,DFAC,TEL U,TE CONNECTIVITY PLC,0.0010704148,52596129.21,G87052109,IE000IVNQZ81,BRC3N84,256579.0,0.0,,52596129.21
2026-09-08,DFAC,ASTC US,ASTROTECH CORP,1.923e-07,9446.8,046484309,US0464843095,BPK5J79,1243.0,0.0,,9446.8
2026-09-08,DFAC,FNB US,FNB CORP/PA,0.0003049001,14981638.0,302520101,US3025201019,2041308,817775.0,0.0,,14981638.0
2026-09-08,DFAC,CRVL US,CORVEL CORP,9.04361e-05,4443685.89,221006109,US2210061097,2347277,65667.0,0.0,,4443685.89
2026-09-08,DFAC,BPOP US,POPULAR INC,0.0004523167,22225129.92,733174700,PR7331747001,B86QM90,132624.0,0.0,,22225129.92
2026-09-08,DFAC,EEFT US,EURONET WORLDWIDE INC,0.0001219319,5991269.88,298736109,US2987361092,2320148,83351.0,0.0,,5991269.88
2026-09-08,DFAC,VALU US,VALUE LINE INC,3.691e-07,18135.12,920437100,US9204371002,2926751,492.0,0.0,,18135.12
2026-09-08,DFAC,QLYS US,QUALYS INC,0.0002140014,10515216.16,74758T303,US74758T3032,B7XJTN8,61738.0,0.0,,10515216.16
