date,fund,company,ticker,cusip,shares,market value ($),weight (%)
09/15/2026,ARKK,TESLA INC,TSLA,88160R101,"1,706,986","$612,756,764.42",9.55%
09/15/2026,ARKK,SPACE EXPLORATION TECHN-CL A,SPCX,84615Q103,"2,801,518","$415,044,891.70",6.47%
09/15/2026,ARKK,CIRCLE INTERNET GROUP INC,CRCL,172573107,"3,803,275","$370,515,050.50",5.78%
09/15/2026,ARKK,TEMPUS AI INC-CL A,TEM,88023B103,"5,108,857","$317,821,993.97",4.96%
09/15/2026,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"1,614,307","$309,059,075.15",4.82%
09/15/2026,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,"5,502,661","$291,420,926.56",4.54%
09/15/2026,ARKK,ROBINHOOD MARKETS INC - A,HOOD,770700102,"2,346,905","$268,321,648.65",4.18%
09/15/2026,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,"1,588,624","$214,067,084.00",3.34%
09/15/2026,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,"2,970,529","$208,263,788.19",3.25%
09/15/2026,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,"1,492,131","$199,781,419.59",3.11%
09/15/2026,ARKK,OPENAI GROUP PBC SERIES C,,PPOPENAIC,"254,476","$172,563,178.42",2.69%
09/15/2026,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"982,335","$170,248,478.85",2.65%
09/15/2026,ARKK,ADVANCED MICRO DEVICES,AMD,007903107,"326,527","$161,111,687.07",2.51%
09/15/2026,ARKK,BLOCK INC,XYZ,852234103,"2,004,916","$159,370,772.84",2.48%
09/15/2026,ARKK,CEREBRAS SYSTEMS INC - A,CBRS,15675D103,"875,263","$158,606,408.23",2.47%
09/15/2026,ARKK,NVIDIA CORP,NVDA,67066G104,"741,026","$156,326,844.96",2.44%
09/15/2026,ARKK,COREWEAVE INC-CL A,CRWV,21873S108,"1,869,982","$155,171,106.36",2.42%
09/15/2026,ARKK,AMAZON.COM INC,AMZN,023135106,"610,856","$154,876,430.24",2.41%
09/15/2026,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,"6,346,390","$153,074,926.80",2.39%
09/15/2026,ARKK,BULLISH,BLSH,G16910120,"3,959,092","$148,941,041.04",2.32%
